Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"(Serbiti) 
(j)Two
Rahatlandyryjuy  (Tea
Bags)
(k)Three  Buyan
Kokonin Serbati
Packet 3:-
One  Packet  Containing
Turkmenistan  Melhem
Caylary One Green Tea set and"	Food	Ahsan Zafar	PTI	07/12/2021	3950	0		
Pair  of  flower vase	Decoration Pieces	Aijaz  Ahmed Chaudhary	Gen Mush	19/03/2002	0	0	Yes	Yes
One Wrist Watch Fendi  (Swiss) (No.016-4500G-992)	Watch	Aijaz  Ahmed Chaudhary	Gen Mush	22/03/2002	16000	0	Yes	Yes
One  small wooden box with six packets of tea	Food	Aijaz  Ahmed Chaudhary	Gen Mush	22/03/2002	0	0	Yes	Yes
"One  Wall Hanging
piece"		Ajmal  Khan	PTI	26/10/2020	20000	0	Yes	Yes
One Carpet	Carpet	Ajmal  Khan 	PTI	26/10/2020	3000	0	Yes	Yes
"A  decoration  piece 
(Gold)"	Decoration Pieces	Akbar  Ali	Gen Mush	11/10/2005	1000	0	Yes	Yes
A decoration piece	Decoration Pieces	Akbar  Ali	Gen Mush	13/12/2005	6000	0	Yes	Yes
One souvenir		"Akhtar  Farooq
"	PTI	29/07/2021	0	0	Yes	Yes
One decoration piece	Decoration Pieces	Akhtar Farooq	PTI	20/09/2021	15000	0	Yes	Yes
One  Wrist Watches FENDI	Watch	Ali Imran	Gen Mush	26/03/2002	20500	2325	Yes	Yes
One  Wrist Watches FENDI	Watch	Ali Imran	Gen Mush	26/03/2002	20500	2325	Yes	Yes
One tea set	Crockery	Alix Bux Ansari	Gen Mush	27/03/2002	4000	0	Yes	Yes
One Wrist Watch Bvlgari	Watch	Ameer  Khurram  Rathore	Military	29/03/2002	45000	5250	Yes	Yes
"One  wrist  watch,
Bulgari  (No.BB  33
SS L-9366)"	Watch	Amir  Saeed	Military	15/01/2003	62000	7800	Yes	Yes
"One  wrist  watch
Tissot (1853)"	Watch	Amir  Saeed	Gen Mush	20/01/2003	5200	0	Auctioned	"Auctioned for
Rs.4,000/-"
"One  tea  set  20
pieces"	Crockery	Amir  Saeed	Gen Mush	20/01/2003	2200	0	Auctioned	"Auctioned for
Rs.1,500/-"
"One  decoration
piece of Horse"	Decoration Pieces	Amir  Saeed	Gen Mush	21/01/2003	1000	0	Auctioned	"Auctioned for
Rs.3,500/-"
"a. One wrist watch
b. One medal
c. One calendar"	Watch	Amir  Saeed	Gen Mush	21/01/2003	0	0	Auctioned	"Auctioned
a. for Rs.1,001/-
b. for Rs.1,180/-"
"One  wrist  watch
Rolex"	Watch	Amir  Saeed	Media	31/01/2003	335000	0	Yes	Yes
"a. One  Gold  Bangle
and ring
b. Mobile set Nokia"		Amir  Saeed	Media	31/01/2003	35200	0	Yes	Yes
"One  wrist  watch
RADO"	Watch	Amir  Saeed	Media	31/01/2003	18500	0	Yes	Yes
"a. Hand wash Basin
b. Wall hanging (Mirror)"		Amir  Saeed	Gen Mush	08/06/2005	9000	0	Yes	Yes
"a. A bowl
b. A CD
c. A Book
d. A Scarf"		Amir  Saeed	Gen Mush	08/06/2005	1450	0	Yes	Yes
"a. One shield
b. Wooden  model  of
dagger"		Amir  Saeed	Gen Mush	01/07/2006	1000	0	Yes	Yes
One rug		Ammar Amin	Gen Mush	23/07/2003	1000	0	Yes	Yes
"a. One shield
b. One  golden  and
diamond necklace
c. One  ladies  purse
gold  and  diamond
made
d. Pair  of  ear  rings
gold  and  diamond
made"		Ammar Amin	Military	28/07/2003	515500	75825	Yes	Yes
"a. Pair of studs
b. One  framed
model of sword
c. Wooden  box
containing saddle,
d. One carpet
e. One carpet"	Carpet	Ammar Amin	Military	28/07/2003	12500	3375	Yes	Yes
"a. One shawl
b. Two caps,
c. Pair  of  metallic
flowers
d. Model of tree
e. Framed  clay
painting"		Ammar Amin	Military	28/07/2003	14100	915	Yes	Yes
"One  packet  of
plates"		Ammar Amin	Military	29/07/2003	4300	0	Yes	Yes
"a. Two books
b. A game board"		Ammar Amin	Gen Mush	12/03/2006	2000	0	Yes	Yes
"One  wrist  watch
omega"	Watch	Ammar Amin		01/07/2006	300000	43500	Yes	Yes
"One  lady’s  wrist
watch,  Concord
(No.1209097-
61.EI.1855)"	Watch	Ammar Amin	Gen Mush	01/07/2006	360000	0	Auctioned	"Auctioned for
Rs.235,000/-"
"One  shirt  (Gents)
(Kenypool Classic)"		Ammar Amin		03/07/2006	1200	0	Yes	Yes
"a. One Ladies hand bag
(Yellow color)
b.  One  scarf  green
color"	Bags	Anwar  Karim		07/12/2021	32000	0	Yes	Yes
"One  envelope
containing:-
a. Book
b. Wall clock
c. T.shirt
d. Cap
e. Model of camel
f. Pen"		Anwar  Karim	Military	07/12/2021	4500	0	Yes	Yes
One  wooden decoration piece	Decoration Pieces	Arif  Mehmood	Military	29/03/2002	2000	0	Yes	Yes
One flower vase	Decoration Pieces	Arif  Mehmood	Military	29/03/2002	2000	0	Yes	Yes
"One Tissot  Swiss
watch-T 033410B"	Watch	Arif Khan	Military	10/12/2021	30000	0	Yes	Yes
"One  (white  colour)
vase  (porcelain)
(Chinese)"	Decoration Pieces	"Arshad
Mahmood"		06/01/2022	40000	0	No	No
One  tea  set  (17 pcs)	Crockery	Arshad  Ali	Gen Mush	30/03/2002	4000	0	Yes	Yes
"One  Decoration
piece (tray)"	Decoration Pieces	Arshad Alam	PTI	02/12/2020	20000	0	Yes	Yes
One shield		Asad  Hussain  Alvi	PTI	29/07/2021	0	0	Yes	Yes
"One  frame  name  of
Allah"		Asad Hassan Alvi	PTI	20/09/2021	5000	0	Yes	Yes
"One  box  containing  Pair
of Pen (Caran D’Ache)"	Pen	Asaf Humanyun 	PTI	22/11/2019	0	0	Yes	Yes
One  wrist  watch Korean Made	Watch	ASI  Fakhar  Maqbool	Judiciary	30/03/2002	4000	0	Yes	Yes
One  Korean Traditional wooden Box	Decoration Pieces	ASI  Hamad  Raza	Judiciary	30/03/2002	1000	0	Yes	Yes
"One  Rug/Carpet
Afghani Wool"	Carpet	Asif Riaz	Military	14/12/2020	25000	0	Yes	Yes
"Handmade  carpet  Red
(one piece 32”x54”)"	Carpet	Asim		27/12/2021	0	0	Yes	Yes
One  gift  of flower  vase (white  china clay)	Decoration Pieces	ASP  Muhammad Sami  Malik Minister	Bureaucracy	30/03/2002	800	0	Yes	Yes
One  Cassette Recorder	Tech	Assistant  Chief  of Protocol	Gen Mush	01/04/2002	2500	0	Yes	Yes
One pen	Pen	Assistant  Director (GR-I)	Military	03/04/2002	2500	0	Yes	Yes
One  Jewellery box (porcelain)	Jewellery/Accessories	Assistant Director Protocol	Military	03/04/2002	3000	0	Yes	Yes
Decoration  piece (Ceramic Horse)	Decoration Pieces	Assistant W. Officer Tariq	Military	03/04/2002	2000	0	Yes	Yes
One Carpet	Carpet	"Atif
Mujtaba"	PTI	24/04/2019	30000	0	Yes	Yes
"One  handmade
scarf"		"Atiq  ur
Rehman"	PTI	23/12/2020	3000	0	No	No
Flower vase	Decoration Pieces	Attorney  General  for Pakistan	Military	03/04/2002	1000	0	Yes	Yes
One  Decoration piece	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	2000	0	Yes	Yes
"One  box  Cohiba
cigars"	Cigar/Cigarettes	Auditor  General  for Pakistan	Military	03/04/2002	1250	0	Yes	Yes
"One  picture  of
Budha  duly
framed"	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	1200	0	Yes	Yes
One tie	Clothes	Auditor  General  for Pakistan	Military	03/04/2002	650	0	Yes	Yes
One book	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	500	0	Yes	Yes
One  Jewellary box	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	500	0	Yes	Yes
"
Insignia House  of Councilors"	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	500	0	Yes	Yes
One  Book  &  Pen tray (Ceramic)	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	450	0	Yes	Yes
"One  wooden  ball
with hammer"	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	100	0	Yes	Yes
One book	Unknown	Auditor  General  for Pakistan	Military	03/04/2002	35	0	Yes	Yes
"
One handkerchief"	Unknown	Auditor  General  for Pakistan	Military	03/04/2002	35	0	Yes	Yes
"One  book  &  one
Calendar"	Decoration Pieces	Auditor  General  for Pakistan	Military	03/04/2002	0	0	Yes	Yes
"One  Huawei  Mobile    (P30
pro  Aurora  IMEI
No*863196042366411)"		"Azhar  Mehmood
"	PTI	30/04/2019	90000	0	No	No
One Carpet	Carpet	Babar  Sarfraz  Alpa	PTI	03/01/2022	20000	0	Yes	Yes
One glass vase	Decoration Pieces	Barrister  Masood  Kausar	Gen Mush	08/04/2002	800	0	Yes	Yes
One Cigar Box	Cigar/Cigarettes	Barrister Nabeel Ahmed Awan	Gen Mush	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  Ambreen  Tahira	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  Brig. Tahir  Ali Malik	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  General  Parvez  Musharraf	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  General  Parvez  Musharraf	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  General  Parvez  Musharraf	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  General  Parvez  Musharraf	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum  General  Parvez  Musharraf	Military	09/04/2002	400	0	Yes	Yes
One  digital calendar  (pocket size)	Tech	Begum  General  Parvez  Musharraf	Bureaucracy	10/04/2002	1000	0	Yes	Yes
One  painting  of China Great Wall	Decoration Pieces	Begum  General  Parvez  Musharraf	Bureaucracy	10/04/2002	650	0	Yes	Yes
One  Blue  Onyx Bowl	Decoration Pieces	Begum  General  Parvez  Musharraf	Gen Mush	10/04/2002	500	0	Retained.	Retained.
One shawl	Clothes	Begum  General  Parvez  Musharraf	Bureaucracy	10/04/2002	0	0	Yes	Yes
One  Woolen Shawl	Clothes	Begum  General  Parvez  Musharraf	Gen Mush	10/04/2002	0	0	Retained.	Retained.
Wrist Watch Roberge	Watch	Begum  General  Parvez  Musharraf	Military	28/07/2004	25000	2250	Yes	Yes
"Six  Packet  of  Herbal
Tea and a CD"	Crockery	Begum  General  Parvez  Musharraf	Gen Mush	31/07/2004	900	0	Yes	Yes
"Book  on  Azerbaijan
Cookery"		Begum  General  Parvez  Musharraf	PPP	10/08/2004	0	0	Yes	Yes
Handmade Embroidery of Bangladesh depicting two women on Cloth	Clothes	Begum  of Nadeem Taj	Bureaucracy	12/04/2002	0	0	Auctioned	"Auctioned
for
Rs.1,150/-"
One shawl	Clothes	Begum Admiral  M.  Zakaullah	Gen Mush	09/04/2002	700	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum Admiral  M.  Zakaullah	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum Admiral  M.  Zakaullah	Military	09/04/2002	400	0	Yes	Yes
Jewellery box	Jewellery/Accessories	Begum Admiral  M.  Zakaullah	Military	09/04/2002	400	0	Yes	Yes
One crystal glass vase	Decoration Pieces	Begum Admiral  M.  Zakaullah	Gen Mush	15/04/2002	1500	0	Yes	Yes
Tea set (08 pcs)	Crockery	Begum Admiral  M.  Zakaullah	Gen Mush	15/04/2002	650	0	Yes	Yes
"A  framed  secenery  duly
framed"		Begum Shafaat Ullah Shah		15/03/2005	1750	0	Yes	Yes
One silver candy bowl		Begum Shafaat Ullah Shah	Military	16/08/2005	10000	750	Yes	Yes
One  decoration piece	Decoration Pieces	Brig  (R)  Mansoor Hamid	Military	03/07/2002	12000	300	Yes	Yes
One  bowl (copper)	Decoration Pieces	Brig  (R)  Mansoor Hamid	Military	03/07/2002	5500	0	Yes	Yes
Two  empty wooden Jewellery boxes	Jewellery/Accessories	Brig  (R)  Mansoor Hamid	Military	04/07/2002	0	0	Yes	Yes
"a.  One  statue  of
soldier
b.  One  leather
bag
c.  One  silver
coin
d.  One  jewelry
box"	Unknown	Brig  (R)  Mansoor Hamid	Military	05/07/2002	25125	2269	Yes	Yes
"One  piece  of
cloth  with
dupata"	Clothes	Brig  (R)  Mansoor Hamid	Military	10/08/2002	1000	0	Yes	Yes
One  hand  bag with ball pen	Pen	Brig  Azhar Mahmood Kiyani	Military	05/07/2002	2200	0	Yes	Yes
"One  model  of
Omayyad
Mosque"	Decoration Pieces	Brig  Azhar Mahmood Kiyani	Military	17/08/2002	4500	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Azhar Mahmood Kiyani	Bureaucracy	20/08/2002	75000	9750	Yes	Yes
"Two  Box  Printed
Chinese Silk"	Clothes	Brig  Azhar Mahmood Kiyani	Gen Mush	20/08/2002	300	0	Yes	Yes
"One  Engraved
Bowl"	Decoration Pieces	Brig  Azhar Mahmood Kiyani	Gen Mush	21/08/2002	2700	0	Yes	Yes
"a.  One  Gent’s
Wrist  Watch
Roberge
b.  Ladies  wrist
watch Roberge
c.  Fountain  Pen
Roberge
d.  One  Gents
Ring  with
Cufflinks
e.  Ladies  ring
with ear studs
f. One Tasbih
g.  One  Brief
Case"	Watch	Brig  Azhar Mahmood Kiyani	Gen Mush	26/08/2002	216850	31028	Yes	Yes
One shirt	Clothes	Brig  Azhar Mahmood Kiyani	Military	28/08/2002	0	0	Yes	Yes
"Cufflinks  Set
insignia"	Jewellery/Accessories	Brig  Azhar Mahmood Kiyani	Gen Mush	28/08/2002	0	0	Yes	Yes
"Four  Marble
decoration
pieces"	Decoration Pieces	Brig  Azhar Mahmood Kiyani	Gen Mush	29/08/2002	1500	0	Yes	Yes
"One  prestige  Annual
stamp Album,"		Brig  Azhar Mahmood Kiyani	Gen Mush	16/08/2005	0	0	Yes	Yes
One hand bag	Bags	Brig  Iftikhar Cheema	Military	05/07/2002	300	0	Yes	Yes
One hand bag	Bags	Brig  Imran  Malik	Military	05/07/2002	300	0	Yes	Yes
One  Lacqure  Art box	Decoration Pieces	Brig  Muhammad  Aamer	Gen Mush	15/07/2002	1000	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Muhammad  Aamer	Police	14/09/2002	30000	3000	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Muhammad  Aamer	Military	14/09/2002	30000	0	Yes	Yes
Wrist  Watch (Concord)	Watch	Brig  Muhammad Ahmad	Bureaucracy	07/07/2002	75000	9750	Yes	Yes
One  tea  set  (24 pcs)	Crockery	Brig  Muhammad Ahmad	Military	22/07/2002	3000	0	Yes	Yes
One wooden box show piece	Decoration Pieces	Brig  Muhammad Ahmad	Gen Mush	22/07/2002	1000	0	Auctioned	"Auctioned
for
Rs.1,015/-"
"Wrist  Watch
(Concord)"	Watch	Brig  Muhammad Ahmad	Military	14/09/2002	30000	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Muhammad Ahmad	Military	14/09/2002	30000	0	Yes	Yes
Wrist  Watch (Concord)	Watch	Brig  Mukhtar  Ahmed	Military	23/07/2002	75000	9750	Yes	Yes
"a.  Satellite
Phone  set  with
GSM+GPS
b.  One  Souvenir
(Eagle)"	Phone	Brig  Nauman Anwar	Gen Mush	25/07/2002	29000	3300	Yes	Yes
One  Tea  set  (14 pcs)	Crockery	Brig  Nauman Anwar	Gen Mush	25/07/2002	3000	0	Yes	Yes
"a. One  Books
, Sons  and
Lovers  by
D.H.
Lawrence
b. One  Book
“Villete”  by
Charlotte
Bronte"	Books	Brig  Nauman Anwar	Gen Mush	25/07/2002	2200	0	"Displayed
at Cabinet
Division’s
Library"	"Displayed
at Cabinet
Division’s
Library"
"One  Souvenir (Lacquer  ware, double  Jewelry Box)"	Jewellery/Accessories	Brig  Nauman Anwar	Gen Mush	26/07/2002	800	0	Auctioned	"Auctioned
for
Rs.1,659/-"
Candy  Box (green)  (Candy Pot)	Decoration Pieces	Brig  Nauman Anwar	Gen Mush	27/07/2002	0	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Nauman Anwar	Media	26/09/2002	30000	3000	Yes	Yes
"a.  One  tray
(Tiffany)
b.  One  crystal
Insignia"	Decoration Pieces	Brig  Nauman Anwar	Military	01/10/2002	2000	0	Yes	Yes
"One  Seal  of  the
State of Illinois"	Decoration Pieces	Brig  Nauman Anwar	Military	01/10/2002	1500	0	Yes	Yes
One wooden box	Decoration Pieces	Brig  Nauman Anwar	Military	01/10/2002	1000	0	Yes	Yes
One model	Decoration Pieces	Brig  Nauman Anwar	Military	01/10/2002	0	0	Yes	Yes
Decoration plate	Decoration Pieces	Brig  Raja  Samiullah	Gen Mush	27/07/2002	0	0	Yes	Yes
"One  battery
powered light"	Tech	Brig  Raja  Samiullah	Military	01/10/2002	3500	0	Yes	Yes
"Six  mates  and
one tray,"		Brig  Raja  Samiullah	Military	01/10/2002	1200	0	Yes	Yes
One silk scarf	Clothes	Brig  Raja  Samiullah	Military	01/10/2002	60	0	Yes	Yes
"One  wooden
shield"		Brig  Raja  Samiullah	Military	01/10/2002	0	0	Yes	Yes
One  printed jewelry box	Jewellery/Accessories	Brig  Retd.  Mian  Khalid Habib	Gen Mush	06/08/2002	2000	0	Yes	Yes
"One  great  seal
of US"	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	04/09/2002	0	0	Yes	Yes
"a. One carpet
b. One  pen  set
Cross"	Carpet	Brig  Retd.  Mian  Khalid Habib	Gen Mush	31/12/2002	11000	150	Yes	Yes
"Ice  cream  Bowl
Set"	Crockery	Brig  Retd.  Mian  Khalid Habib	Gen Mush	02/01/2003	500	0	Auctioned	"Auctioned for
Rs.1,111/-"
"One  decoration
piece of horse"	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Gen Mush	07/01/2003	1000	0	Auctioned	"Auctioned for
Rs.1,615/-"
One carpet	Carpet	Brig  Retd.  Mian  Khalid Habib	Gen Mush	09/01/2003	30000	3000	Yes	Yes
Decoration piece	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	4500	0	Yes	Yes
"Pair  of  candle
stand"		Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	3000	0	Yes	Yes
One wall clock	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	400	0	Yes	Yes
One wall clock	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	400	0	Yes	Yes
"One  decoration
plate"	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	350	0	Yes	Yes
"One  decoration
plate"	Decoration Pieces	Brig  Retd.  Mian  Khalid Habib	Military	09/01/2003	350	0	Yes	Yes
"One  wrist  watch,
Bulgari  (No.RT  45
S L-9366)"	Watch	Brig  Retd.  Mian  Khalid Habib	Military	15/01/2003	72000	9300	Yes	Yes
"Piece  of  Ghilaf  e
Kaaba"		Brig  Retd.  Mian  Khalid Habib	Gen Mush	15/01/2003	0	0	Yes	Yes
Three books	Unknown	Brig  Sheryar  Munir Hafiez	Military	08/08/2002	2400	0	Yes	Yes
One painting	Decoration Pieces	Brig  Tahir  Mahmud  Malik	Military	08/08/2002	3000	0	Yes	Yes
"One  jewellery
box"	Jewellery/Accessories	Brig  Tahir  Mahmud  Malik	Military	02/10/2002	2000	0	Yes	Yes
"One  Tea  Sets
(21 Pieces)"	Crockery	Brig  Tahir  Mahmud  Malik	Gen Mush	19/10/2002	3500	0	Yes	Yes
"One  Tea  Set  (21
Pieces) (each)"	Crockery	Brig  Tahir  Mahmud  Malik	Gen Mush	19/10/2002	3500	0	Yes	Yes
"One  wrist  watch
(Longines)"	Watch	Brig  Tahir  Mahmud  Malik	Gen Mush	22/10/2002	20000	1500	Yes	Yes
"One  single
Bracelet
(Bangle)  (Gold"	Jewellery/Accessories	Brig  Tahir  Mahmud  Malik	Gen Mush	22/10/2002	26000	0	Yes	Yes
One Ladies Shirt	Clothes	Brig  Tahir  Mahmud  Malik	Gen Mush	22/10/2002	400	0	Yes	Yes
"Wrist  Watch
(Concord)"	Watch	Brig  Tahir  Mahmud  Malik	Media	29/10/2002	30000	0	Yes	Yes
"One  Printed
Table Cloth"	Decoration Pieces	Brig  Tahir  Mahmud  Malik	Gen Mush	30/10/2002	400	0	Yes	Yes
"One Wrist Watch
Bvlgari  (BB  33
SGL/L172880)"	Watch	Brig  Tahir  Mahmud  Malik	Gen Mush	01/11/2002	0	4500	Yes	Yes
"One Wrist Watch
Bvlgari  (BB  33
SL  Auto – L
8290)"	Watch	Brig  Tahir  Mahmud  Malik	Gen Mush	01/11/2002	0	3300	Yes	Yes
"Wrist  watch
JAEGER-LE
COULTRF      5
ATM)"	Watch	Brig  Tahir  Mahmud  Malik	Gen Mush	04/11/2002	44550	5183	Yes	Yes
Metallic Horse	Decoration Pieces	Brig  Tahir  Mahmud  Malik	Gen Mush	05/11/2002	3000	0	Yes	Yes
One Steel Box	Decoration Pieces	Brig  Tahir  Mahmud  Malik	Gen Mush	25/11/2002	2500	0	Yes	Yes
One flower Vase	Decoration Pieces	Brig  Tahir  Mahmud  Malik	Bureaucracy	03/12/2002	400	0	Yes	Yes
